               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057425,            0.039814,            0.088317,             0.16578,            0.085563,            0.091354,            0.042804,            0.027181,            0.017225,            0.082308,             0.07001,           0.0033322,           0.0033322
                   1,            0.042532,            0.030177,            0.064602,             0.30228,             0.75019,             0.39545,             0.23398,            0.025646,            0.014838,            0.049338,             0.03998,           0.0066355,           0.0066355
                   2,            0.040717,            0.028212,            0.037788,             0.70228,             0.91252,             0.80684,             0.54282,            0.025157,            0.014401,            0.019781,           0.0099202,           0.0099089,           0.0099089
                   3,            0.038879,            0.027633,            0.019368,             0.93627,             0.96276,             0.96614,             0.67022,            0.024867,            0.013764,           0.0053554,            0.009865,            0.009865,            0.009865
                   4,            0.035995,            0.026402,            0.012123,              0.9638,             0.98726,             0.98429,             0.74742,             0.02042,             0.01186,           0.0036443,            0.009865,            0.009865,            0.009865
                   5,            0.033696,            0.025447,           0.0097986,             0.96781,             0.99478,             0.98901,             0.76836,            0.018967,            0.011213,           0.0029415,             0.00982,             0.00982,             0.00982
                   6,            0.032099,            0.024597,           0.0086757,             0.97238,              0.9915,             0.99067,             0.78322,             0.01775,            0.010895,           0.0025699,            0.009775,            0.009775,            0.009775
                   7,            0.030954,            0.024132,           0.0079691,             0.97217,             0.98993,             0.99027,             0.77355,             0.01795,            0.011116,           0.0022947,             0.00973,             0.00973,             0.00973
                   8,            0.030115,            0.023804,           0.0076143,             0.97468,             0.98936,             0.99134,             0.79523,            0.016764,            0.010462,           0.0020694,            0.009685,            0.009685,            0.009685
                   9,            0.029396,            0.023346,            0.007179,             0.96999,             0.99322,             0.99122,             0.80841,            0.015981,            0.010187,           0.0018843,             0.00964,             0.00964,             0.00964
                  10,            0.028839,              0.0231,           0.0069469,             0.96992,             0.99577,             0.99146,             0.81357,            0.015702,            0.010029,           0.0017508,            0.009595,            0.009595,            0.009595
                  11,            0.028426,            0.022918,           0.0066915,             0.96923,             0.99394,             0.99129,             0.82274,             0.01501,           0.0097892,           0.0016825,             0.00955,             0.00955,             0.00955
                  12,            0.028017,            0.022645,           0.0066352,             0.97385,             0.99063,             0.99165,             0.82494,            0.014779,           0.0097068,           0.0015677,            0.009505,            0.009505,            0.009505
                  13,            0.027679,            0.022384,           0.0064398,             0.97837,             0.98517,              0.9918,             0.81958,            0.015037,           0.0098527,           0.0015139,             0.00946,             0.00946,             0.00946
                  14,            0.027373,            0.022224,           0.0063451,             0.97838,             0.98418,             0.99171,             0.82803,            0.014595,           0.0096152,           0.0014664,            0.009415,            0.009415,            0.009415
                  15,             0.02702,            0.022062,            0.006151,             0.98074,             0.98394,             0.99186,              0.8345,            0.014165,           0.0094003,           0.0014068,             0.00937,             0.00937,             0.00937
                  16,            0.026843,            0.021909,           0.0061468,             0.98109,             0.98364,             0.99194,             0.84344,            0.013685,           0.0091876,           0.0013753,            0.009325,            0.009325,            0.009325
                  17,            0.026475,            0.021888,           0.0060784,              0.9813,             0.98272,              0.9919,             0.84621,            0.013491,           0.0090987,           0.0013537,             0.00928,             0.00928,             0.00928
                  18,            0.026169,            0.021523,           0.0058911,             0.98031,             0.98434,              0.9919,             0.84709,            0.013439,           0.0090638,           0.0013197,            0.009235,            0.009235,            0.009235
                  19,            0.025983,            0.021519,           0.0060086,             0.98008,             0.98525,             0.99203,             0.84876,            0.013372,           0.0090403,           0.0012936,             0.00919,             0.00919,             0.00919
                  20,            0.025738,            0.021382,           0.0058836,             0.98221,             0.98304,             0.99203,             0.84793,            0.013444,           0.0090549,           0.0012784,            0.009145,            0.009145,            0.009145
                  21,            0.025626,            0.021389,           0.0058794,             0.98295,             0.98239,              0.9921,             0.84749,             0.01348,           0.0090762,           0.0012668,              0.0091,              0.0091,              0.0091
                  22,            0.025488,            0.021238,           0.0057477,             0.98595,             0.97996,             0.99215,             0.84849,            0.013443,           0.0090501,           0.0012536,            0.009055,            0.009055,            0.009055
                  23,            0.025282,            0.021102,           0.0057753,             0.98598,             0.97982,             0.99217,             0.84991,            0.013372,           0.0090103,           0.0012406,             0.00901,             0.00901,             0.00901
                  24,            0.025085,            0.020964,            0.005711,             0.98725,             0.97885,             0.99224,             0.85074,            0.013328,           0.0089892,             0.00123,            0.008965,            0.008965,            0.008965
                  25,            0.024906,            0.020914,           0.0056494,             0.98733,              0.9788,             0.99228,             0.85223,            0.013263,            0.008961,           0.0012164,             0.00892,             0.00892,             0.00892
                  26,            0.024906,            0.020952,           0.0056068,             0.98763,             0.97857,              0.9923,             0.85388,            0.013185,           0.0089202,           0.0012055,            0.008875,            0.008875,            0.008875
                  27,            0.024679,            0.020667,           0.0054875,             0.98775,             0.97851,             0.99232,             0.85515,            0.013126,           0.0088865,           0.0011965,             0.00883,             0.00883,             0.00883
                  28,            0.024699,            0.020739,           0.0056096,             0.98843,             0.97742,              0.9923,             0.85625,            0.013078,             0.00886,           0.0011878,            0.008785,            0.008785,            0.008785
                  29,            0.024449,             0.02074,           0.0054636,             0.98923,             0.97697,              0.9923,             0.85722,            0.013033,           0.0088392,           0.0011786,             0.00874,             0.00874,             0.00874
